export PATH="/home/tdurieux/defects4j/framework/bin:$PATH";cp -r /home/tdurieux/projects/lang/lang_15 /tmp/lang_15_Ranking;cd /tmp/lang_15_Ranking;defects4j compile;mkdir lib/;cp -r /home/tdurieux/defects4j/framework/projects/lib/* lib/;cp -r /home/tdurieux/defects4j/framework/projects/Lang/lib/* lib/;find . -type f -name "package-info.java" -delete;
cd /tmp/lang_15_Ranking;cp -r /home/tdurieux/nopol/z3-x64-debian-7.7/bin/ lib/z3;time java -cp /home/tdurieux/nopol/nopol-0.0.3-SNAPSHOT-jar-with-dependencies.jar fr.inria.lille.repair.Main --mode ranking --type condition --oracle angelic --synthesis smt --solver z3 --solver-path lib/z3/z3 --complianceLevel 5 --source src/main/java/ --classpath target/classes/:target/tests/:lib/asm.jar:lib/cglib.jar:lib/commons-io.jar:lib/easymock.jar:/home/tdurieux/nopol/nopol-0.0.3-SNAPSHOT-jar-with-dependencies.jar;echo "

Node: `hostname`
";echo "
Date: `date`
";rm -rf /tmp/lang_15_Ranking;

/************************/
Executed tests:   2047
Successful tests: 2045
Failed tests:     2

org.apache.commons.lang3.reflect.TypeUtilsTest#testGetTypeArguments
java.lang.AssertionError: expected:<2> but was:<0>
	at org.junit.Assert.fail(Assert.java:88)
	at org.junit.Assert.failNotEquals(Assert.java:743)
	at org.junit.Assert.assertEquals(Assert.java:118)
	at org.junit.Assert.assertEquals(Assert.java:555)
	at org.junit.Assert.assertEquals(Assert.java:542)
	at org.apache.commons.lang3.reflect.TypeUtilsTest.testGetTypeArguments(TypeUtilsTest.java:505)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at com.gzoltar.core.instr.testing.junit.JUnitRunner.run(JUnitRunner.java:47)
	at com.gzoltar.core.instr.Runner.main(Runner.java:46)

org.apache.commons.lang3.reflect.TypeUtilsTest#testIsAssignable
java.lang.AssertionError: type class org.apache.commons.lang3.reflect.TypeUtilsTest$Thing not assignable to org.apache.commons.lang3.reflect.TypeUtilsTest.org.apache.commons.lang3.reflect.TypeUtilsTest$This<java.lang.String, java.lang.String>!
	at org.junit.Assert.fail(Assert.java:88)
	at org.junit.Assert.assertTrue(Assert.java:41)
	at org.junit.Assert.assertFalse(Assert.java:64)
	at org.apache.commons.lang3.reflect.TypeUtilsTest.testIsAssignable(TypeUtilsTest.java:344)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at com.gzoltar.core.instr.testing.junit.JUnitRunner.run(JUnitRunner.java:47)
	at com.gzoltar.core.instr.Runner.main(Runner.java:46)


/************************/
/* Suspicious statement */
/************************/
org.apache.commons.lang3.reflect.TypeUtils:600 -> 1.0 (ep: 0, ef: 2, np: 2045, nf: 0)
org.apache.commons.lang3.reflect.TypeUtils:601 -> 1.0 (ep: 0, ef: 2, np: 2045, nf: 0)
org.apache.commons.lang3.reflect.TypeUtils:603 -> 1.0 (ep: 0, ef: 2, np: 2045, nf: 0)
org.apache.commons.lang3.reflect.TypeUtils:664 -> 0.8164965809277261 (ep: 1, ef: 2, np: 2044, nf: 0)
org.apache.commons.lang3.reflect.TypeUtils:648 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:655 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:88 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:121 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:134 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:136 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:140 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:154 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:155 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:193 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:211 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:250 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:256 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:261 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:262 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:265 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:267 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:268 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:271 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:275 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:277 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:345 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:346 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:347 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:349 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:352 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:357 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:358 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:359 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:364 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:367 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:372 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:373 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:374 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:379 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:387 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.reflect.TypeUtils:396 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.text.translate.EntityArrays:138 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.text.translate.EntityArrays:349 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
org.apache.commons.lang3.text.translate.EntityArrays:358 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2045, nf: 1)
